id,conversation_id,post_order,thread_length,date,created_at,text,like_count,retweet_count,reply_count,quote_count,bookmark_count,impression_count,has_image,has_video,has_link,permalink
2029443838134382697,2029443778696888682,5,7,2026-03-05,2026-03-05T06:28:10.000Z,"4. 画像→3D→動画が全部つながる
ㅤ
Nano Bananaで画像生成 → Meshyで3D変換 → 3D to Videoで映像化。テキスト入力だけで、画像生成から3Dモデル、さらにシネマティック映像まで全部完結する。
ㅤ
カスタムポーズ機能もあって、ポーズ参照画像を渡せば指定ポーズの3Dモデルも自動生成できる。 https://t.co/3G4wRmxHD7",5,0,1,0,1,1550,○,,,https://x.com/SuguruKun_ai/status/2029443838134382697
2029443823093596507,2029443778696888682,4,7,2026-03-05,2026-03-05T06:28:07.000Z,"3. ゲーム開発向けのローポリ最適化モード
ㅤ
リアルタイム用途に最適化された軽量ワイヤーフレームを自動生成。UnrealやBlenderにそのまま持っていける。ゲームアセット量産したい人にはかなり刺さると思う。 https://t.co/90Qa4LC3dF",3,0,1,0,0,1571,○,,,https://x.com/SuguruKun_ai/status/2029443823093596507
2029443808451268836,2029443778696888682,3,7,2026-03-05,2026-03-05T06:28:03.000Z,"2. キャラクターのジオメトリが自然に
ㅤ
オーガニックモデルの形状がかなり滑らかになっていて、人体構造に近いフォルムを出してくる。手作業での修正がかなり減る印象。 https://t.co/Zxdt3tHhvL",2,0,1,0,1,2253,○,,,https://x.com/SuguruKun_ai/status/2029443808451268836
2029443793557307458,2029443778696888682,2,7,2026-03-05,2026-03-05T06:28:00.000Z,"1. ハードサーフェスの精度が段違い
ㅤ
メカや幾何学系モデルのエッジがかなりシャープになった。以前はAI生成の3Dモデルって「形はそれっぽいけど実務では使えない」感があったんけど、Meshy 6はそのまま制作パイプラインに乗せられるクリーンさ。 https://t.co/1D9g0kA1EG",6,0,1,0,4,2612,○,,,https://x.com/SuguruKun_ai/status/2029443793557307458
2029443778696888682,2029443778696888682,1,7,2026-03-05,2026-03-05T06:27:56.000Z,"AI生成の3Dモデル、久しぶりに触り直したら進化が想像以上だった。
ㅤ
Meshy 6がプロの手作業に匹敵する精度でAI 3Dモデル生成を実現していた：
ㅤ
テキストや画像から数分で、そのままBlenderやUnrealに持っていけるレベルの3Dモデルが出力される。
ㅤ
解説していきます👇🧵 https://t.co/PIcH4njIAT",137,16,2,0,130,12663,○,,,https://x.com/SuguruKun_ai/status/2029443778696888682
2029401838538334231,2029397906822971413,4,4,2026-03-05,2026-03-05T03:41:17.000Z,"これらのスキルを使えば、この記事にあるようなことがかなりスムーズにできるようになるのでオススメ！
https://t.co/73aDq4R9Yv",16,0,0,0,39,14826,,,,https://x.com/SuguruKun_ai/status/2029401838538334231
2029400018088775921,2029397906822971413,3,4,2026-03-05,2026-03-05T03:34:03.000Z,"@skgc0123 もちろんタスクによりますが、遅いと感じた時はsonnetとかに変えるといいかもしれません！

自分は4×3×3タブぐらいで毎回並列作業してるので、それぞれが遅くてもその間に他のClaude Codeと話してるのであんまり気にならないかもです笑 https://t.co/Bebh0ulAi9",5,0,1,0,0,440,○,,,https://x.com/SuguruKun_ai/status/2029400018088775921
2029399452130459782,2029397906822971413,2,4,2026-03-05,2026-03-05T03:31:48.000Z,"70近くのオリジナル/外部のエージェントスキルがあるけど、パッと思いつく限りはいったんこんな感じかなあ
今後追加していきます。
ㅤ
gogとNanobananaは本当に毎日というか毎秒使っている...
ㅤ
ログを調べたらもうnanobananaに8万円も払っているらしく、もはやClaude Codeレベルに課金してる笑 https://t.co/cqTtIIgTsr",6,0,1,0,7,10268,○,,,https://x.com/SuguruKun_ai/status/2029399452130459782
2029397906822971413,2029397906822971413,1,4,2026-03-05,2026-03-05T03:25:40.000Z,"Claude Codeで特に自分が気に入ってるエージェントスキルやMCPをランキングにしてみた： https://t.co/YmxUrdeRtZ",228,14,3,3,188,35681,○,,,https://x.com/SuguruKun_ai/status/2029397906822971413
2028794373576724990,2028728859877933381,4,4,2026-03-03,2026-03-03T11:27:26.000Z,"そしてこれももう明らかにリミット超えるの見えてたので200ドルにアップしました。

寝る間も惜しんでClaude Code使ってると本当に足りなくなる https://t.co/aIZtlxKka4",6,0,0,0,0,6307,○,,,https://x.com/SuguruKun_ai/status/2028794373576724990
2028732173218619666,2028728859877933381,3,4,2026-03-03,2026-03-03T07:20:16.000Z,"自分はChatGPT Plusが出た初日からずっと、Proが出た初日からもずっとChatGPTの一番高いプランに頑張って課金し続けたけど、今初めてガチで解約というかダウングレードしようか迷っている。。。

こんな状態結構あんまりないので珍しい。",9,1,1,0,1,9428,,,,https://x.com/SuguruKun_ai/status/2028732173218619666
2028729413068808390,2028728859877933381,2,4,2026-03-03,2026-03-03T07:09:18.000Z,"自分の活用事例はこの記事でも解説しています：
https://t.co/73aDq4R9Yv",71,3,1,1,129,32344,,,,https://x.com/SuguruKun_ai/status/2028729413068808390
2028728859877933381,2028728859877933381,1,4,2026-03-03,2026-03-03T07:07:06.000Z,"Claude、ついに「3台目」を契約してしまった...
ㅤ
・オウンドメディア記事出稿
・開発への活用
・スライド生成やSNSの自動化
・海外情報含めたリサーチ
・その他 毎日15個ぐらいのcron定期実行
・各種SNSやメッセージングアプリと連携した効率化
ㅤ
などなど色々やってたらすぐに切れてしまう。 https://t.co/E5XyvWqV4O",226,7,9,11,132,54383,○,,,https://x.com/SuguruKun_ai/status/2028728859877933381
2028481872557453615,2028481871123022050,1,2,2026-03-02,2026-03-02T14:45:40.000Z,"正直これは意外だった...
ㅤ
「安全性を主張したら市場から評価される」って、AIの歴史でかなり珍しいケースだと思う。
ㅤ
個人的には、ユーザーが「どのAI企業を信頼するか」をダウンロードで投票した結果に見える。技術力じゃなくて姿勢で選ばれる時代が来てるのかもしれない。",24,0,1,1,0,5035,,,,https://x.com/SuguruKun_ai/status/2028481872557453615
2028481871123022050,2028481871123022050,2,2,2026-03-02,2026-03-02T14:45:40.000Z,"Anthropicが、米国防総省から「サプライチェーンリスク」に指定された。
ㅤ
理由は「大量監視や自律型兵器にAIを使わないで」と安全策を要求したから。トランプ大統領は連邦機関にAnthropic全製品の使用停止を指示。
ㅤ
結果、ClaudeがApp https://t.co/ND2suKuLn5",115,20,4,2,24,17140,○,,,https://x.com/SuguruKun_ai/status/2028481871123022050
2028431831998316686,2028431788570476701,4,4,2026-03-02,2026-03-02T11:26:49.000Z,"📅 3/6（金）20:00〜22:00 予定
💻 オンライン
💰 無料（先着順）
ㅤ
参加はこちらから：
https://t.co/AvWxbs4eqx
ㅤ
ちなみにメタいことを言うと、
めっちゃ直前発表なので結構人数的にもコスパいいと思います笑 ぜひ！",6,0,0,0,3,2637,,,○,https://x.com/SuguruKun_ai/status/2028431831998316686
2028431819637715384,2028431788570476701,3,4,2026-03-02,2026-03-02T11:26:46.000Z,"今週の金曜日、3/6にこのMuleRunのプロダクトチームと一緒にハンズオンワークショップやります。
ㅤ
1. プロダクトチームがライブデモ（英語→自分が通訳）
2. 実際にAIエージェントを構築する（45分）
3. 上位3名にAmazonギフト券15,000円分
ㅤ
参加者全員にMuleRunの2,000クレジットと、 https://t.co/OOJZJASYMv",3,0,1,0,1,3504,○,,,https://x.com/SuguruKun_ai/status/2028431819637715384
2028431803263111248,2028431788570476701,2,4,2026-03-02,2026-03-02T11:26:42.000Z,"MuleRunでできること：
ㅤ
・議事録要約、リサーチ自動化、レポート生成
・商品画像の背景差し替え、モデル合成
・決算分析（NVIDIAの分析を10秒で完了）
・SEOブログ生成、SNSキャプション作成
・3Dフィギュア生成、スタンプ作成
ㅤ
100万ユーザー超、1,000以上のエージェントが公開中です！ https://t.co/bGJ5yZF66D",10,0,1,0,2,2029,○,,,https://x.com/SuguruKun_ai/status/2028431803263111248
2028431788570476701,2028431788570476701,1,4,2026-03-02,2026-03-02T11:26:39.000Z,"【賞金 4.5万円！AIエージェント構築体験会を開催します】
ㅤ
「MuleRun」というAIエージェントプラットフォーム触ってみたんだけど、コード一切書かずに日本語で指示するだけでエージェントが構築できてびっくりした。
ㅤ
ざっくり言うと「AIエージェントのApp https://t.co/cNzwaMsr8z",35,4,2,1,23,27817,○,,,https://x.com/SuguruKun_ai/status/2028431788570476701
2028358956570280236,2028358938966818950,2,2,2026-03-02,2026-03-02T06:37:14.000Z,"補足すると
ㅤ
Anthropicが拒否したのは2つ：
・自律兵器システムへのAI提供
・米国市民への大規模監視
ㅤ
つまり「軍と仕事しない」じゃなくて
「この2つだけはやらない」という線引き
ㅤ
それすら許されなかった
ㅤ
一方イランでは
カマラ・ハリスが「望まぬ戦争に引きずり込まれる」と警告 https://t.co/ZpZDrEmzpP",20,7,0,2,10,5911,○,,,https://x.com/SuguruKun_ai/status/2028358956570280236
2028358938966818950,2028358938966818950,1,2,2026-03-02,2026-03-02T06:37:10.000Z,"Anthropic CEOが国防総省を真っ向批判してる...
ㅤ
『アメリカ企業に対するこのような指定は前例がない
彼らの声明や行動は「報復的で懲罰的」としか呼びようがない』
ㅤ
これ外部の批評家じゃなくて
AI安全性を最も重視してきた企業のCEO本人の言葉
ㅤ
背景はこう： https://t.co/GreqH7qFs4",261,85,5,9,127,32951,,○,,https://x.com/SuguruKun_ai/status/2028358938966818950
2028052820285644846,2028052644997263854,12,12,2026-03-01,2026-03-01T10:20:46.000Z,"AI業界はもはや「モデル性能」だけの競争ではなくなっている。
ㅤ
政治、軍事、ハードウェア、規制、宇宙——あらゆる領域がAIと交差し始めた1週間でした。
ㅤ
来週も重要なアップデートがあればまとめます。
フォローしておくと見逃しません。

👉 @sugurukun_ai https://t.co/eZTmCG1lco",5,1,0,0,1,3634,○,,,https://x.com/SuguruKun_ai/status/2028052820285644846
2028052804108157167,2028052644997263854,11,12,2026-03-01,2026-03-01T10:20:42.000Z,"10. Gemini 3.1 Deep Thinkが科学・工学推論で過去最高性能を達成
ㅤ
Googleが発表したDeep Thinkモードは、複雑な数理問題や科学的推論に特化した思考モデル。Google AI Ultraサブスクリプション限定で提供されています。
ㅤ
コーディングはAnthropicのOpus 4.6、推論はGemini https://t.co/DbbQCRTGKk",6,2,1,0,1,3226,○,,,https://x.com/SuguruKun_ai/status/2028052804108157167
2028052787444240493,2028052644997263854,10,12,2026-03-01,2026-03-01T10:20:38.000Z,"9. 英国がxAIのGrokに対し正式調査を開始
ㅤ
英情報コミッショナーとOfcomが共同で、Grokの画像生成機能が非同意の性的コンテンツやディープフェイクに悪用される懸念について調査を開始。
ㅤ
AIの表現力が上がるほど、規制との衝突は避けられない。2026年はAIガバナンスの年になりつつあります。 https://t.co/W3ov37s5qo",1,0,1,0,0,1596,○,,,https://x.com/SuguruKun_ai/status/2028052787444240493
2028052771984068888,2028052644997263854,9,12,2026-03-01,2026-03-01T10:20:34.000Z,"8. Claude Agent SDKがApple Xcode 26.3にネイティブ統合
ㅤ
Claude Codeのフル機能（サブエージェント、バックグラウンドタスク、プラグイン）がXcode上で直接利用可能に。
ㅤ
IntuitもClaude Agent https://t.co/lRulQa5Jhl",3,1,1,0,2,683,○,,,https://x.com/SuguruKun_ai/status/2028052771984068888
2028052756020552037,2028052644997263854,8,12,2026-03-01,2026-03-01T10:20:31.000Z,"7. PerplexityがAIデジタルワーカーを発表
ㅤ
Opus 4.6、Gemini、ChatGPT 5.2、Grokなどのモデルを「専門社員」として扱い、ユーザーがゴールを伝えるだけで自動的にタスクを分解し、サブエージェントを並列で走らせる仕組みです。 https://t.co/UDqxckylCH",3,1,1,0,4,680,○,,,https://x.com/SuguruKun_ai/status/2028052756020552037
2028052740707168467,2028052644997263854,7,12,2026-03-01,2026-03-01T10:20:27.000Z,"6. SpaceXがxAIを買収、評価額1.25兆ドルの史上最大の合併
ㅤ
Muskの狙いは「宇宙データセンター」。SpaceXはFCCに最大100万基の衛星打ち上げを申請済みです。 https://t.co/sutkGkrrQv",0,0,1,1,0,602,○,,,https://x.com/SuguruKun_ai/status/2028052740707168467
2028052725460775044,2028052644997263854,6,12,2026-03-01,2026-03-01T10:20:23.000Z,"5. MetaがNVIDIAと数百万GPU規模のインフラ契約を締結
ㅤ
Meta史上最大のAIインフラ投資で、2026年の設備投資額は最大1350億ドル（約20兆円）に達する見込みです。
ㅤ
◾️ NVIDIA Grace CPUの大規模単独導入は世界初
◾️ WhatsAppにNVIDIA Confidential Computingを採用（プライバシー保護AI）
◾️ https://t.co/6n5EkVGjnG",0,0,1,0,0,722,○,,,https://x.com/SuguruKun_ai/status/2028052725460775044
2028052709862179129,2028052644997263854,5,12,2026-03-01,2026-03-01T10:20:20.000Z,"4. NVIDIAが次世代AIプラットフォーム「Vera Rubin」を公開
ㅤ
1兆パラメータ規模のモデル向けに設計された新世代H300 GPUを搭載。Blackwellと比較して処理能力とメモリ帯域幅が大幅に向上しています。 https://t.co/zH26VKltJc",0,0,1,0,1,646,○,,,https://x.com/SuguruKun_ai/status/2028052709862179129
2028052693911257116,2028052644997263854,4,12,2026-03-01,2026-03-01T10:20:16.000Z,"3. GoogleがNano Banana 2（Gemini 3.1 Flash Image）を発表
ㅤ
Nano Banana Proの品質とFlashの速度を両立した次世代画像生成モデル。主なポイントは次の通りです。
ㅤ
◾️ 512pxから4K解像度まで対応
◾️ 1ワークフロー内で最大5キャラクターの一貫性を維持
◾️ https://t.co/gV6sUitvcP",0,0,1,0,1,854,○,,,https://x.com/SuguruKun_ai/status/2028052693911257116
2028052678459486638,2028052644997263854,3,12,2026-03-01,2026-03-01T10:20:12.000Z,"2. OpenAIが即座に国防総省と契約締結
ㅤ
Anthropic追放の数時間後、OpenAIが軍の機密ネットワーク向けにAI提供契約を発表。
ㅤ
しかし注目すべきは、OpenAIのアルトマンCEOがAnthropicを擁護し「我々も同じレッドラインを共有している」と発言したこと。競合を守る異例の対応が話題になっています。 https://t.co/QCFBt1S93k",6,0,1,0,1,2757,○,,,https://x.com/SuguruKun_ai/status/2028052678459486638
2028052662453940559,2028052644997263854,2,12,2026-03-01,2026-03-01T10:20:08.000Z,"1. トランプ政権がAnthropicを連邦政府から追放
ㅤ
国防総省がAnthropicに「サプライチェーンリスク」の指定を通告。Anthropicが「自律兵器」と「国内大量監視」への利用を拒否したことが原因です。 https://t.co/fcQJqhhjNG",13,3,1,1,4,4312,○,,,https://x.com/SuguruKun_ai/status/2028052662453940559
2028052644997263854,2028052644997263854,1,12,2026-03-01,2026-03-01T10:20:04.000Z,"AI業界、この1週間でも変化が速すぎる...
ㅤ
今週の重要アプデ10個がこれ：
ㅤ
①Anthropic国防総省追放
②OpenAI即軍契約
③Nano Banana 2発表
④NVIDIA Vera Rubin
⑤Meta×NVIDIA 20兆円
⑥SpaceX×xAI合併
⑦Perplexity AIワーカー
⑧Claude×Xcode統合
⑨英国Grok調査開始
⑩Gemini Deep Think 👇🧵",191,31,1,7,69,23074,,,,https://x.com/SuguruKun_ai/status/2028052644997263854
2028030901851181167,2028005882832032027,3,3,2026-03-01,2026-03-01T08:53:40.000Z,"こちら:
https://t.co/dNOD35gWZS https://t.co/fJuEuvanfy",46,6,0,0,56,8427,○,,○,https://x.com/SuguruKun_ai/status/2028030901851181167
2028005892814426304,2028005882832032027,2,3,2026-03-01,2026-03-01T07:14:18.000Z,"マイクロソフトの活用事例も参考になる：
https://t.co/MiHzUM35nT",10,0,0,0,9,4802,,,,https://x.com/SuguruKun_ai/status/2028005892814426304
2028005882832032027,2028005882832032027,1,3,2026-03-01,2026-03-01T07:14:15.000Z,"東京商工会議所が公開した「中小企業のための生成AI活用ガイド」資料が有益。ChatGPTやGemini、Microsoft Copilotなど主要AIツールの業務活用法や事例別のプロンプトを45ページで豊富に掲載しており参考になる👇🧵 https://t.co/eCSstrSsUs",506,69,5,9,493,42598,○,,,https://x.com/SuguruKun_ai/status/2028005882832032027
2027974375161663828,2027969523471856102,4,4,2026-03-01,2026-03-01T05:09:03.000Z,"そしてまさかの同じ出版日かつ同じ出版社の@keitaro_aigc さんと記念イベントも行います！

こちらはオンラインなので気軽にご参加ください( ´ ▽ ` )
https://t.co/vSeVr1m3go",10,3,0,0,0,2927,,,○,https://x.com/SuguruKun_ai/status/2027974375161663828
2027971504718405717,2027969523471856102,3,4,2026-03-01,2026-03-01T04:57:39.000Z,"そしてPRTIMESのスタートアップチャレンジ期間（無料で打てる期間）も最後なので打ちました。
ㅤ
てか法人もう三期目なのもやばいですね...笑
ㅤ
くそんな感じしないけどここまで続けられてることに感謝...！
https://t.co/lTYRJYYyBj",8,0,1,0,0,3452,,,○,https://x.com/SuguruKun_ai/status/2027971504718405717
2027969773406220356,2027969523471856102,2,4,2026-03-01,2026-03-01T04:50:46.000Z,"こちらから購入できます。
もちろん電子書籍版もあります！！
https://t.co/NNdyeA3PDG",4,0,1,0,5,1932,,,○,https://x.com/SuguruKun_ai/status/2027969773406220356
2027969523471856102,2027969523471856102,1,4,2026-03-01,2026-03-01T04:49:46.000Z,"ついについに、初の単著が発売されました！
ㅤ
『AIエージェント仕事術 仕事時間は1/100に 成果は120%になる』
ㅤ
「プロンプトを上手く書く」の先にある、仕事の99%をAIエージェントに任せる方法を徹底的に解説しています。
ㅤ
楽天ではすでにビジネス書で「11位」を獲得しています(/ _ ; ) https://t.co/ZwHtN593eJ",148,14,7,2,48,16171,○,,,https://x.com/SuguruKun_ai/status/2027969523471856102
2027668167544434968,2027667956663238658,5,5,2026-02-28,2026-02-28T08:52:18.000Z,"個人的に一番刺さったのは「ネイティブ4K/60fps」。
ㅤ
アップスケールで4K風にするのと、最初から4Kで生成するのでは情報量が全然違う。
ㅤ
マルチショット（1回で最大6カット生成）とネイティブ音声同時生成もついて、無料枠もある。
ㅤ
触ってみるといい：
https://t.co/yGxtXHJrOI https://t.co/s07v2nAdmU",10,0,0,0,2,2714,○,,○,https://x.com/SuguruKun_ai/status/2027668167544434968
2027668150570127480,2027667956663238658,4,5,2026-02-28,2026-02-28T08:52:14.000Z,"③ 静かな会話シーン（Kling 3.0 vs Seedance 2.0）
ㅤ
アクションだけじゃなくて、繊細な表情の動きでも差が出る。
ㅤ
Kling 3.0は映像と音声をネイティブで同時生成するから、リップシンクの後付けが要らない。口の動きと声が最初から合ってる。地味だけど実用面で一番大きい。 https://t.co/XRfO114MtM",3,0,1,0,1,2911,,○,,https://x.com/SuguruKun_ai/status/2027668150570127480
2027668087177417061,2027667956663238658,3,5,2026-02-28,2026-02-28T08:51:58.000Z,"② 剣士の戦闘（Kling 3.0 vs Veo 3.1）
ㅤ
衣服のなびきと体重移動で差が出やすい場面。
ㅤ
Veo 3.1は映像の仕上がりは綺麗だけど、動きがやや硬い。Kling 3.0は60fpsで生成できるから、スローにしても破綻しない。これはアップスケールじゃ出せないクオリティ。 https://t.co/vND1BWAuJt",4,0,1,0,2,2103,,○,,https://x.com/SuguruKun_ai/status/2027668087177417061
2027668021922435320,2027667956663238658,2,5,2026-02-28,2026-02-28T08:51:43.000Z,"① ロボット同士の格闘（Kling 3.0 vs Sora 2）
ㅤ
金属のぶつかり方、パーツの変形、煙の挙動。Kling 3.0は「重さ」を感じる。
ㅤ
Sora 2は物理演算は正確だけど、映像の解像感でワンランク差がある。Klingはネイティブ4Kで生成してるから、ピクセル単位の情報量が違う。 https://t.co/01ZSii2EbZ",9,0,1,0,2,2358,,○,,https://x.com/SuguruKun_ai/status/2027668021922435320
2027667956663238658,2027667956663238658,1,5,2026-02-28,2026-02-28T08:51:27.000Z,"久々に「動画生成AIガチ比較」をしてみたけど結構有益だ。
ㅤ
Kling 3.0 vs Sora 2 vs Veo 3.1 vs Seedance 2.0
ㅤ
同じプロンプトで全部生成して並べた結果、正直ここまで差が開いてるとは思わなかった。
ㅤ
比較動画付きで見せていきます👇🧵 https://t.co/28TPiSXQ2m",70,3,3,7,36,13699,,○,,https://x.com/SuguruKun_ai/status/2027667956663238658
2027348814315843673,2027348797861568908,2,2,2026-02-27,2026-02-27T11:43:18.000Z,"補足すると
ㅤ
アモデイが言ってる「1〜5年」は2025年11月の発言
ㅤ
つまり
最短で2026年末
最長でも2030年
ㅤ
もう残り時間がほとんどない
ㅤ
日本の就活生に言いたいのは
「どの業界に入るか」より
「AIをどう使えるか」の方が100倍大事
ㅤ
企業側も同じで
AI研修を福利厚生じゃなくて https://t.co/FeGyUDXEXV",27,7,1,1,12,8122,○,,,https://x.com/SuguruKun_ai/status/2027348814315843673
2027348797861568908,2027348797861568908,1,2,2026-02-27,2026-02-27T11:43:14.000Z,"Anthropic CEOの発言がやばい...
ㅤ
『ホワイトカラーの新人職の半分が消える
失業率は10〜20%に跳ね上がる
1〜5年以内に』
ㅤ
これAI批判派の人が言ってるんじゃなくて
Claude（AI）を作ってる本人の発言
ㅤ
しかもAnthropicはAI企業の中で安全性を一番重視してる会社
そのCEOがここまで踏み込んだ
ㅤ https://t.co/kOCH3UqXoQ",970,181,31,56,530,169117,,○,,https://x.com/SuguruKun_ai/status/2027348797861568908
2027305980233658499,2027305874629460465,8,8,2026-02-27,2026-02-27T08:53:05.000Z,"実務に使えるAI情報を毎日発信しています。
最新のAI情報を追うならフォロー
👉 @SuguruKun_ai https://t.co/YSmOYaFQDV",4,0,0,0,0,2036,○,,,https://x.com/SuguruKun_ai/status/2027305980233658499
2027305965230731508,2027305874629460465,7,8,2026-02-27,2026-02-27T08:53:02.000Z,"正直、月$3でGPT-5.2 CodexもGemini-3-Proも触れるツールは今のところ他にない。
ㅤ
CursorもClaude Codeも使ってるけど、メインツールに月$20払えない人や、AIコーディングツールをまず試してみたい人にとっては、TRAEのLiteプランはちょうどいい入口だと思う。 https://t.co/eW9LdCOoag",6,1,2,0,1,2505,○,,,https://x.com/SuguruKun_ai/status/2027305965230731508
2027305950110167463,2027305874629460465,6,8,2026-02-27,2026-02-27T08:52:58.000Z,"あと地味に大きいのが、課金体系がリクエスト数ベースからトークンベースに変わったこと。 https://t.co/aSXPLRQUhC",1,0,1,0,0,227,○,,,https://x.com/SuguruKun_ai/status/2027305950110167463
2027305934926864733,2027305874629460465,5,8,2026-02-27,2026-02-27T08:52:55.000Z,"上位プランのボーナス設計がかなり面白くて、上に行くほど倍率が上がる仕組みになってる。
ㅤ
Proプラン（$10/月）だとボーナスが月額の約15倍相当。Ultra（$100/月）になるとGemini-3-Proで約10,000回の会話ができて、$3,000相当の使用量が付いてくる。 https://t.co/y1pWdyKBLC",1,0,1,0,0,270,○,,,https://x.com/SuguruKun_ai/status/2027305934926864733
2027305919609233671,2027305874629460465,4,8,2026-02-27,2026-02-27T08:52:51.000Z,"新規ユーザーは14日間のProプラン無料トライアルが付いてくるので、まずはここから試すのがいいと思う。
ㅤ
ProになるとSOLOモードっていうAIが自律的にコードを書き進める機能が使えるようになる。あとは優先キューに入れるのでレスポンスが速くなるのと、ボーナス使用量も増える。 https://t.co/yjBWqsp554",1,0,1,0,0,275,○,,,https://x.com/SuguruKun_ai/status/2027305919609233671
