No,スレッドNo,スレッド長,投稿順,日付,いいね,スレッド合計いいね,表示回数,文字数,画像,動画,リンク,絵文字,テキスト,permalink,thread_id
17,6,6,4/6,2026-03-09,1,,,16,,,,○,コメント欄に続きがございます🫶,https://www.threads.net/@asa_to_ame/post/DVpRLdsE-DC,DVm4-D0kxhq
18,6,6,5/6,2026-03-09,1,,,25,,,,○,ありがとうございます！ めちゃくちゃ嬉しいです😭,https://www.threads.net/@asa_to_ame/post/DVqZSkKk9JF,DVm4-D0kxhq
19,6,6,6/6,2026-03-09,0,,,12,,,,○,もうすぐ神になれます👼,https://www.threads.net/@asa_to_ame/post/DVpRrdRkwWJ,DVm4-D0kxhq
20,7,2,1/2,2026-03-08,4,5,630,105,,,,,5ヶ月本気出した結果。  Threads運用開始から5ヶ月で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・オプチャ＋500人（1ヶ月経たず） ・継続的な売り上げ獲得  結局、継続が一番大切なので。,https://www.threads.net/@asa_to_ame/post/DVo7UvcE9i7,DVo7UvcE9i7
21,7,2,2/2,2026-03-08,1,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVo7XFsE1sZ,DVo7UvcE9i7
22,8,3,1/3,2026-03-08,6,11,893,47,,,,,何回目か分からないけど、大事なことなので言わせてください。  Threadsを伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVnos7dkzS4,DVnos7dkzS4
23,8,3,2/3,2026-03-08,3,,,114,,,,,徹底して「価値提供」を行ってください。  ユーザーはあなたの日常ではなく、有益な情報を求めているからです。  ①悩みを解決する ②新しい視点を与える ③モチベーションを上げる  ギブの精神が、結果としてフォロワー増に繋がります。,https://www.threads.net/@asa_to_ame/post/DVnovn6EyKf,DVnos7dkzS4
24,8,3,3/3,2026-03-08,2,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVnoyYAk9PE,DVnos7dkzS4
25,9,3,1/3,2026-03-08,21,26,2513,37,,,,,フォロワーが1万人いきそうです。  僕の伸ばし方はめちゃくちゃシンプルで、,https://www.threads.net/@asa_to_ame/post/DVnbGDIE2E5,DVnbGDIE2E5
26,9,3,2/3,2026-03-08,5,,,121,,,,,「1投稿＝1テーマ」を必ず守ってください。  情報量が多すぎると、結局何の話をしているか読者はわからなくなるからです。  ①言いたいことは一つに絞る ②余計な修飾語は削る ③補足はツリーに回す  読者の負担を減らすことが、離脱を防ぐコツです。,https://www.threads.net/@asa_to_ame/post/DVnbIK5E6bz,DVnbGDIE2E5
27,9,3,3/3,2026-03-08,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVnbJi7kwPl,DVnbGDIE2E5
28,10,2,1/2,2026-03-08,5,5,825,115,,,,,まだThreadsやってないの勿体無いです。 Threads運用開始から5ヶ月で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・オプチャ＋500人（1ヶ月経たず） ・継続的な売り上げ獲得  結局、継続が一番大切なので。,https://www.threads.net/@asa_to_ame/post/DVmkCcYk56a,DVmkCcYk56a
29,10,2,2/2,2026-03-08,0,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVmkDt1E2tG,DVmkCcYk56a
30,11,5,1/5,2026-03-07,173,190,,46,,,,,スレッズ上手すぎて、閲覧数が200万を超えました。  やっぱりThreads伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVlD7CGE5c6,DVlD7CGE5c6
31,11,5,2/5,2026-03-07,15,,,123,,,,,あえて「短文」で投稿することをおすすめします。  読みやすく、見返すために「保存」代わりのいいねがされやすいからです。  ①一目で読める長さに ②改行を多めに使う ③核心だけをズバッと言う  長文よりも、サクッと読める投稿が伸びる傾向にあります。,https://www.threads.net/@asa_to_ame/post/DVlD9Xakxza,DVlD7CGE5c6
32,11,5,3/5,2026-03-07,2,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVlD-8SE180,DVlD7CGE5c6
33,11,5,5/5,2026-03-09,0,,,107,,,,,正直、ここまで伸びるとは。  Threads運用開始から5ヶ月で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・オプチャ＋500人（1ヶ月経たず） ・継続的な売り上げ獲得  結局、継続が一番大切なので。,https://www.threads.net/@asa_to_ame/post/DVrnGijk_D4,DVlD7CGE5c6
34,11,5,6/5,2026-03-09,0,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVrnIz0E01F,DVlD7CGE5c6
35,12,3,1/3,2026-03-07,7,10,1091,58,,,,,スレッズ上手すぎて、毎日フォロワーが爆増してる。 もうすぐ1万人。  気づいたんだけどThreads伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVk2YenE-A0,DVk2YenE-A0
36,12,3,2/3,2026-03-07,3,,,119,,,,,投稿するジャンルを一貫させてください。  発信内容がバラバラだと、何の人か分からずフォローに繋がらないからです。  ①発信軸を1つに絞る ②関係ない日常投稿は控える ③プロフィールの内容と合わせる  専門家として認知されることが大切です。,https://www.threads.net/@asa_to_ame/post/DVk2Zejk0xM,DVk2YenE-A0
37,12,3,3/3,2026-03-07,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVk2cIsk0p5,DVk2YenE-A0
38,13,3,1/3,2026-03-07,5,9,1082,46,,,,,何回目か分からないけど、大事なことなので言わせてください。 Threadsを伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVkT41yk6kF,DVkT41yk6kF
39,13,3,2/3,2026-03-07,4,,,161,,,,,徹底的に「価値提供」にこだわってください。  読者はあなたの日常には興味がなく、自分にメリットがある情報しか求めていないからです。  ①読んだ後に即実践できるか確認する ②相手の悩みを解決する内容にする ③知らなかった気付きを与える  自己満の日記はNG。常に「画面の向こうの相手にとって有益か？」を自問自答してください。,https://www.threads.net/@asa_to_ame/post/DVkT5qTE4hZ,DVkT41yk6kF
40,13,3,3/3,2026-03-07,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVkT8cOEwtT,DVkT41yk6kF
41,14,2,1/2,2026-03-07,5,5,1011,113,,,,,スレッズに才能やセンスは関係ないです。  Threads運用開始から5ヶ月で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・オプチャ＋500人（1ヶ月経たず） ・継続的な売り上げ獲得  結局、継続が一番大切なので。,https://www.threads.net/@asa_to_ame/post/DVj_YdCk0xM,DVj_YdCk0xM
42,14,2,2/2,2026-03-07,0,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVj_Zjek2FM,DVj_YdCk0xM
43,15,3,1/3,2026-03-06,4,6,881,57,,,,,"スレッズやりすぎて、フォロワーが1ヶ月で3,000人増えました。  気付いたんだけどThreads伸ばしたいなら、",https://www.threads.net/@asa_to_ame/post/DVifLCck8qz,DVifLCck8qz
44,15,3,2/3,2026-03-06,2,,,119,,,,,「権威性」での訴求が刺さりやすいです。  Threadsはまだブルーオーシャンで、実績のある発信者が少ないからです。  ①職業や肩書きを書く ②具体的な成果数字を出す ③専門知識を噛み砕く  今のうちにポジションを取っておくのが得策です。,https://www.threads.net/@asa_to_ame/post/DVifNZ1kxrz,DVifLCck8qz
45,15,3,3/3,2026-03-06,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVifQGsk9QB,DVifLCck8qz
46,16,3,1/3,2026-03-06,11,14,2179,37,,,,,フォロワーが1万人いきそうです。  僕の伸ばし方はめちゃくちゃシンプルで、,https://www.threads.net/@asa_to_ame/post/DViRYSzk-Ro,DViRYSzk-Ro
47,16,3,2/3,2026-03-06,3,,,117,,,,,「伸びる型」を見つけて擦り続けることです。  一度バズった投稿は、需要があることが証明されているからです。  ①過去のバズ投稿を分析 ②構成を真似する ③言い回しを変えて再投稿  新しいことをするより、勝ちパターンを繰り返しましょう。,https://www.threads.net/@asa_to_ame/post/DViRaeak_uK,DViRYSzk-Ro
48,16,3,3/3,2026-03-06,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DViRdSJE9IH,DViRYSzk-Ro
49,17,3,1/3,2026-03-06,32,35,4264,36,,,,,フォロワーが1万人いきそうです。 僕の伸ばし方はめちゃくちゃシンプルで、,https://www.threads.net/@asa_to_ame/post/DVhvdZvk6Ur,DVhvdZvk6Ur
50,17,3,2/3,2026-03-06,1,,,159,,,,,ツリー投稿を極めてください。  「続きが気になる」と思わせて詳細を開く行為が、アルゴリズム的に加点されるからです。  ①1投稿目で興味を惹く結論やフックを言う ②「理由はスレッドで」と誘導する ③分割して滞在時間を延ばす  ただ文章を書くだけじゃなく、どうタップさせるかの動線設計が重要。読者を意図的に動かしましょう。,https://www.threads.net/@asa_to_ame/post/DVhvf0_k4be,DVhvdZvk6Ur
51,17,3,3/3,2026-03-06,2,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVhvilRE4qu,DVhvdZvk6Ur
52,18,5,1/5,2026-03-05,74,84,,46,,,,,スレッズ上手すぎて、閲覧数が200万を超えました。  やっぱりThreads伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVfslfVE4vF,DVfslfVE4vF
53,18,5,2/5,2026-03-05,6,,,153,,,,,スクロールを止める「フック」にこだわってください。  タイムラインで指を止めてもらわないと、中身がどれだけ良くても読まれないからです。  具体的には  ①「共感」：あるあるネタを入れる ②「権威性」：実績を提示する ③「緊急性」：今だけの情報だと伝える  これらを意識するだけで、反応率が劇的に変わります。,https://www.threads.net/@asa_to_ame/post/DVfsnmVkzop,DVfslfVE4vF
54,18,5,3/5,2026-03-05,2,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVfspIpk0zZ,DVfslfVE4vF
55,18,5,4/5,2026-03-06,1,,,11,,,,,ありがとうございます！,https://www.threads.net/@asa_to_ame/post/DViHJv1E58O,DVfslfVE4vF
56,18,5,5/5,2026-03-06,1,,,13,,,,,ありがとうございます！✌︎,https://www.threads.net/@asa_to_ame/post/DVhvj-jk228,DVfslfVE4vF
57,19,1,1/1,2026-03-05,60,60,8187,27,○,,,,【速報】ワイ、Threads運用のノウハウ喋りすぎな件,https://www.threads.net/@asa_to_ame/post/DVgB_FAE8Tn,DVgB_FAE8Tn
58,20,3,1/3,2026-03-05,7,15,1046,47,,,,,何回目か分からないけど、大事なことなので言わせてください。  Threadsを伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVf6bYTkzSu,DVf6bYTkzSu
59,20,3,2/3,2026-03-05,7,,,107,,,,,結局「継続」が一番強いです。  アルゴリズムに認知されるには、一定の活動量が不可欠だからです。  まずは  ①毎日5投稿を目指す ②同じ時間に投稿する ③反応が悪くてもやめない  地味ですが、これが最短ルートです。,https://www.threads.net/@asa_to_ame/post/DVf6drLk3Hz,DVf6bYTkzSu
60,20,3,3/3,2026-03-05,1,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVf6gWWE3GX,DVf6bYTkzSu
61,21,3,1/3,2026-03-05,3,4,793,35,,,,,フォロワーを増やすために相互フォローしてる人、 今すぐやめてください。,https://www.threads.net/@asa_to_ame/post/DVffCS7E4pE,DVffCS7E4pE
62,21,3,2/3,2026-03-05,1,,,201,,,,,アカウントの評価を大きく下げる原因になります。  興味のないフォロワーが増えても、投稿への反応率は上がりません。 結果としてアルゴリズムからの評価が下がり、本当に届けたい層に届かなくなります。  具体的には ①ターゲット層の投稿にコメントする ②質の高い情報や価値を提供して自然なフォローを待つ ③数字合わせのフォローバックはしない  見せかけの数字よりも、自分の投稿に興味のある層を取るのが大切です。,https://www.threads.net/@asa_to_ame/post/DVffDT8k-nm,DVffCS7E4pE
63,21,3,3/3,2026-03-05,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVffEtnE08x,DVffCS7E4pE
64,22,2,1/2,2026-03-05,2,4,769,92,,,,,Threads運用開始から5ヶ月で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・オプチャ＋500人（1ヶ月経たず） ・継続的な売り上げ獲得  結局、継続が一番大切なので。,https://www.threads.net/@asa_to_ame/post/DVfKSqkEyHD,DVfKSqkEyHD
65,22,2,2/2,2026-03-05,2,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVfKVDWk2fV,DVfKSqkEyHD
66,23,1,1/1,2026-03-05,3,3,1319,14,○,,,,あなたも気をつけてください。,https://www.threads.net/@asa_to_ame/post/DVfIfJSk1Xo,DVfIfJSk1Xo
67,24,2,1/2,2026-03-04,11,12,2147,38,○,,,,昨日からThreads自動投稿ツールの勢いやばい 一体なにが起こっているんだ,https://www.threads.net/@asa_to_ame/post/DVdZqGUEyLB,DVdZqGUEyLB
68,24,2,2/2,2026-03-06,1,,,12,,,,,ありがとうございます✌︎,https://www.threads.net/@asa_to_ame/post/DVhvheuE_jV,DVdZqGUEyLB
69,25,2,1/2,2026-03-04,6,6,1098,52,,,,,ぶっちゃけます。  AI生成や予約投稿すらも作業しない、 完全自動運用で放置してるスレッズ垢もあるけど、,https://www.threads.net/@asa_to_ame/post/DVdYMtokzkw,DVdYMtokzkw
70,25,2,2/2,2026-03-04,0,,,47,,,,,4桁はインプ出るし成約も入るしで激アツです 正直Threads運用これでいいじゃんってなってる,https://www.threads.net/@asa_to_ame/post/DVdYMtrkxgb,DVdYMtokzkw
71,26,1,1/1,2026-03-04,2,2,733,61,,,,,1日100人ずつフォロワー増えてます。 もうすぐ1万人行きそう。 Threads運用や集客を学びたい方はフォロー必須です。,https://www.threads.net/@asa_to_ame/post/DVdVMJEk4lt,DVdVMJEk4lt
72,27,3,1/3,2026-03-04,24,30,4517,56,,,,,"スレッズやりすぎて、フォロワーが1ヶ月で3,000人増えました。 気付いたんだけどThreads伸ばしたいなら、",https://www.threads.net/@asa_to_ame/post/DVdA7G-k_UX,DVdA7G-k_UX
73,27,3,2/3,2026-03-04,5,,,159,,,,,1投稿につき1テーマを徹底してください。  情報量が多すぎると、結局何が言いたいのか伝わらずスルーされるからです。  意識すること ・伝えたいことは一つに絞る ・余計な修飾語や情報は削ぎ落とす ・読後感がスッキリするように設計する  あれもこれも詰め込むのは親切ではなく混乱の元。シンプルイズベストが結局一番伸びます。,https://www.threads.net/@asa_to_ame/post/DVdA8FjE19h,DVdA7G-k_UX
74,27,3,3/3,2026-03-04,1,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVdA9ePk2UK,DVdA7G-k_UX
75,28,3,1/3,2026-03-04,2,5,975,99,,,,,今のThreadsは完全にボーナスタイムです。  Threads運用開始から半年で、  ・フォロワー＋1万人目前 ・月間最高200万imp ・継続的な売上獲得  結局、継続したもん勝ちなんですよね。,https://www.threads.net/@asa_to_ame/post/DVclpvakwCS,DVclpvakwCS
76,28,3,2/3,2026-03-04,2,,,109,○,,○,,オプチャで限定記事出してます。 無料で読めるのでお気軽にご参加ください。 https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVclsAdE7vI,DVclpvakwCS
77,28,3,3/3,2026-03-04,1,,,11,,,,,ありがとうございます！,https://www.threads.net/@asa_to_ame/post/DVcnWmoE4ld,DVclpvakwCS
78,29,3,1/3,2026-03-04,61,62,9502,45,,,,,スレッズ上手すぎて、閲覧数が200万を超えました。 やっぱりThreads伸ばしたいなら、,https://www.threads.net/@asa_to_ame/post/DVcel1-k20C,DVcel1-k20C
79,29,3,2/3,2026-03-04,1,,,170,,,,,投稿ジャンルは絶対に一貫させてください。  バラバラだと「何の発信者か」が分からず、フォローするメリットが伝わらないからです。  注意点 ・プロフィールと発信内容を合わせる ・関係ない日常ツイートを混ぜない ・専門性を出して「〇〇の人」と認知させる  フォロワーが増えない人は、あれもこれも投稿しすぎ。まずは一つの専門家になりきりましょう。,https://www.threads.net/@asa_to_ame/post/DVceoAUE6Q1,DVcel1-k20C
80,29,3,3/3,2026-03-04,0,,,157,,,○,,スレッズ自動化ツール「ポスロボ」 無料で配布してます↓ https://link.post-robo.com/frIraD1  Threads用のオプチャ作ったのでぜひ https://line.me/ti/g2/B1yhWR0OQwqsqwmPilTKbW6eXUEntkpxTPRe-A?utm_source￼,https://www.threads.net/@asa_to_ame/post/DVceqhxkwfF,DVcel1-k20C
81,30,1,1/1,2026-03-04,3,3,999,40,○,,,,また企画の裏でノウハウ投稿伸びてる。 Threads運用上手すぎるかもしれない。,https://www.threads.net/@asa_to_ame/post/DVcaf5gE8dM,DVcaf5gE8dM
82,31,1,1/1,2026-03-04,7,7,626,56,○,,,,起きたら通知がすごいことに... またThreads×AI界隈を騒がせてしまっています  あ，おはようございます,https://www.threads.net/@asa_to_ame/post/DVcZYAaE-Dw,DVcZYAaE-Dw
83,32,1,5/1,2026-03-04,0,,,24,,,,○,固定投稿のリプのURLからお受け取りください🙌,https://www.threads.net/@asa_to_ame/post/DVdQG-oE22d,DVapVeXE426
84,33,6,1/6,2026-03-03,21,25,1060,42,○,○,,,誰もいない世界を歩く架空のゲームの動画です。 反応が多ければ続きを作ろうと思います。,https://www.threads.net/@asa_to_ame/post/DVamdT3k_tC,DVamdT3k_tC
85,33,6,2/6,2026-03-04,1,,,23,,,,,うたさんありがとう〜〜 ゆっくり作ってみます！,https://www.threads.net/@asa_to_ame/post/DVcxtBuE3k6,DVamdT3k_tC
86,33,6,3/6,2026-03-04,0,,,20,,,,,ハスキーさんありがと！ PV作ります！！,https://www.threads.net/@asa_to_ame/post/DVcZhxokybN,DVamdT3k_tC
87,33,6,4/6,2026-03-03,1,,,21,,,,,ありがとうございます！ めっちゃ叫んでる笑,https://www.threads.net/@asa_to_ame/post/DVarD_Tk_KB,DVamdT3k_tC
88,33,6,5/6,2026-03-03,1,,,27,,,,○,つきみさん反応早すぎる🤣笑 ありがとうございます🫶,https://www.threads.net/@asa_to_ame/post/DVam57BE1nx,DVamdT3k_tC
89,33,6,6/6,2026-03-03,1,,,19,,,,○,嬉しすぎます😭 作っちゃおうかな！！,https://www.threads.net/@asa_to_ame/post/DVax-WtE0pk,DVamdT3k_tC
90,34,2,1/2,2026-03-03,2,4,1119,25,,,,,ツリー投稿をコピペでちまちま作る時代は終わりました,https://www.threads.net/@asa_to_ame/post/DVbBAVOE5GF,DVbBAVOE5GF
91,34,2,2/2,2026-03-03,2,,,0,,,,,,https://www.threads.net/@asa_to_ame/post/DVbBCvDk7Hf,DVbBAVOE5GF
92,35,5,1/5,2026-03-03,238,273,,83,○,○,,,自動投稿ツールで話題になった張本人です。 すみません、また賑わせます。  ツリー投稿も一発で生成できる、 【Threads一括投稿生成ツールを無料配布】します。 ↓￼,https://www.threads.net/@asa_to_ame/post/DVapIXsk68L,DVapIXsk68L
93,35,5,2/5,2026-03-03,29,,,34,,,,,欲しい方は、 ①このアカウントをフォロー ②「ツリー投稿」とコメント,https://www.threads.net/@asa_to_ame/post/DVapVeXE426,DVapIXsk68L
